PhraseID,old_file,new_file,status
2395,2240_kie_mi_transiru_por_zagrebo.wav,2240_kie_mi_sxangxu_auxtobuson_por_zagrebo.wav,moved_to:2240_kie_mi_transiru_por_zagrebo.wav
2416,2261_vi_devos_transiri_en_oslo.wav,2261_vi_devos_sxangxi_auxtobuson_en_oslo.wav,moved_to:2261_vi_devos_transiri_en_oslo.wav
2419,2264_kiu_platformo.wav,2264_kiu_kajo.wav,moved_to:2264_kiu_platformo.wav
2425,2270_cxu_tio_estas_rapidtrajno.wav,2270_cxu_tio_estas_ekspresa_trajno.wav,moved_to:2270_cxu_tio_estas_rapidtrajno.wav
2464,2309_mi_sxatus_meti_10_funtojn_sur_gxin.wav,2309_mi_sxatus_aldoni_10_funtojn_al_gxi.wav,moved_to:2309_mi_sxatus_meti_10_funtojn_sur_gxin.wav
2493,2338_kie_ni_nun_traveturas.wav,2338_tra_kie_ni_nun_veturas.wav,moved_to:2338_kie_ni_nun_traveturas.wav
2529,2374_kiu_estas_la_adreso.wav,2374_kio_estas_la_adreso.wav,moved_to:2374_kiu_estas_la_adreso.wav
2532,2377_kie_estas_la_taksometro.wav,2377_kie_estas_la_taksimetro.wav,moved_to:2377_kie_estas_la_taksometro.wav
2547,2392_estas_flughavena_superpago.wav,2392_estas_flughavena_krompago.wav,moved_to:2392_estas_flughavena_superpago.wav
2561,2406_bonvolu_sxalti_la_taksometron.wav,2406_bonvolu_sxalti_la_taksimetron.wav,moved_to:2406_bonvolu_sxalti_la_taksometron.wav
2569,2414_mi_marmalsanas.wav,2414_mi_havas_marmalsanon.wav,moved_to:2414_mi_marmalsanas.wav
2589,2434_la_kruzo_estis_mirinda.wav,2434_la_krozado_estis_mirinda.wav,moved_to:2434_la_kruzo_estis_mirinda.wav
2633,2478_cxu_en_mia_cxambro_estas_prizo_por_mia_elektra_razilo.wav,2478_cxu_en_mia_cxambro_estas_sxtopilingo_por_mia_elektra_razilo.wav,moved_to:2478_cxu_en_mia_cxambro_estas_prizo_por_mia_elektra_razilo.wav
2649,2494_mi_sxatus_plenan_pension.wav,2494_mi_sxatus_plenan_pensionon.wav,moved_to:2494_mi_sxatus_plenan_pension.wav
2727,2572_mi_bezonas_lavi_cxi_tion.wav,2572_mi_bezonas_ke_oni_lavu_cxi_tion.wav,moved_to:2572_mi_bezonas_lavi_cxi_tion.wav
2744,2589_kie_estas_la_urgxa_elirejo.wav,2589_kie_estas_la_savelirejo.wav,moved_to:2589_kie_estas_la_urgxa_elirejo.wav
2781,2626_ne_ni_ne_uzis.wav,2626_ne_ni_ne_uzis_gxin.wav,moved_to:2626_ne_ni_ne_uzis.wav
2782,2627_cxu_la_servkotizo_estas_inkluzivita.wav,2627_cxu_la_servokotizo_estas_inkluzivita.wav,moved_to:2627_cxu_la_servkotizo_estas_inkluzivita.wav
2787,2632_cxu_vi_akceptas_amerikajn_dolarojn.wav,2632_cxu_vi_akceptas_usonajn_dolarojn.wav,moved_to:2632_cxu_vi_akceptas_amerikajn_dolarojn.wav
2798,2643_kiom_oni_kalkulis_al_mi_por_la_minibaro.wav,2643_kiom_oni_fakturis_al_mi_por_la_minibaro.wav,moved_to:2643_kiom_oni_kalkulis_al_mi_por_la_minibaro.wav
2848,2693_mi_rezervis_duoblan_liton_sed_ricevis_du_unulitajn.wav,2693_mi_rezervis_duoblan_liton_sed_ricevis_du_apartajn_litojn.wav,moved_to:2693_mi_rezervis_duoblan_liton_sed_ricevis_du_unulitajn.wav
2868,2713_mi_bezonas_sxvabron.wav,2713_mi_bezonas_sxvabrilon.wav,moved_to:2713_mi_bezonas_sxvabron.wav
2884,2729_mi_bezonas_ventuzilon.wav,2729_mi_bezonas_sucxklosxon.wav,moved_to:2729_mi_bezonas_ventuzilon.wav
2908,2753_jes_gxi_estas_mendita.wav,2753_jes_mi_havas_rezervon.wav,moved_to:2753_jes_gxi_estas_mendita.wav
3076,2921_kiel_pri_iom_da_deserto.wav,2921_cxu_vi_sxatus_iom_da_deserto.wav,moved_to:2921_kiel_pri_iom_da_deserto.wav
3087,2932_jes_ili_ankaux_sxatas_kalconon.wav,2932_jes_ili_ankaux_sxatas_kalzoneon.wav,moved_to:2932_jes_ili_ankaux_sxatas_kalconon.wav
