row	esperanto	column	matched_tokens	current
2076	ekskluziva	Japanese_Trans	inkluziva	{Ｏ}排他的な, 独占的な; （～を）除いた, （～と）相いれない, ><inkluziva
2079	ekzemplero	Japanese_Trans	specimeno	{Ｏ}（本や新聞などの）一冊, 一部; （同種の生物の）個体, 標本, >>specimeno
2120	gambo	Japanese_Trans	kruro	{Ｂ}【解】下肢, 脚部, >>kruro
2125	gimnazio	Japanese_Trans	liceo	{Ｏ}ギムナジウム（大学進学のための中等学校）, >>liceo
2137	horizontala	Japanese_Trans	vertikala	{Ｂ}水平の, 横の, >>vertikala
2138	humuro	Japanese_Trans	humoro	{Ｂ}ユーモア（感覚）, こっけい, おかしみ, 諧謔（かいぎゃく）, >>ŝerco, >>sprito（気分=humoroと区別）
2157	k.t.p.	Japanese_Trans	kaj|plu|tiel	{Ｏ}［略］=kaj tiel plu, ～など
2178	kokso	Japanese_Trans	lumbo|talio	{Ｏ}【解】腰（左または右に張り出した部分）, >>lumbo, >>talio
2179	kolbaso	Japanese_Trans	ŝinko	{Ｏ}【料】ソーセージ, >>ŝinko; 【建】（火薬を詰めた）導火嚢（どうかのう）
2183	komentarii	Japanese_Trans	komenti	{Ｏ}［他］注釈をつける, 注解する; =komenti（論評する）
2197	konsonanto	Japanese_Trans	vokalo	{Ｏ}【声】子音, >>vokalo
2219	lumbo	Japanese_Trans	kokso|talio	{Ｏ}【解】腰, 腰部（背中の下部）, >>kokso, >>talio
2225	majusklo	Japanese_Trans	minusklo	{Ｏ}【印】大文字, ><minusklo
2235	merkato	Japanese_Trans	bazaro	{Ｏ}【経】市場（しじょう）, 販路; 取引, 売買, >>bazaro
2240	minusklo	Japanese_Trans	majusklo	{Ｏ}【印】小文字, ><majusklo
2249	negativa	Japanese_Trans	pasiva|pozitiva	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>pasiva, ><pozitiva
2254	nominativo	Japanese_Trans	akuzativo	{Ｏ}【Ｇ】主格, 名格, >>akuzativo
2256	novelo	Japanese_Trans	romano	{Ｏ}小説（短編小説）, 中編小説, >>romano
2261	objektiva	Japanese_Trans	subjektiva	{Ｏ}客観的な, 実在の, ><subjektiva; 偏りのない, 公正な; 【医】他覚性の; 【理】（レンズが）対物の
2271	parentezo	Japanese_Trans	krampo	{Ｏ}（かっこで囲んだ）挿入句; 【印】かっこ（の組）, >>krampo
2284	pozitiva	Japanese_Trans	aktiva|negativa	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>aktiva, ><negativa
2286	prefikso	Japanese_Trans	sufikso	{Ｏ}【Ｇ】接頭辞, >>sufikso
2297	pseŭdo-	Japanese_Trans	kvazaŭ	{Ｂ}［接頭辞］（擬似・類似・準を示す）, =kaŝ-, =ŝajn-, =kvazaŭ-
2307	rekompenci	Japanese_Trans	kompensi	{Ｂ}［他］報いる, 褒美を与える, お礼をする, >>premii, >>kompensi
2315	satano	Japanese_Trans	diablo	{Ｏ}【宗】悪魔, =diablo
2317	sfero	Japanese_Trans	globo	{Ｏ}【数】球, 球面; =globo（球体）; 【史】（天体の）軌道; 《転》領域, 範囲, 圏
2334	stimuli	Japanese_Trans	instigi	{Ｏ}［他］激励する, 励ます; 刺激する, >>instigi, >>vigligi, >>sproni
2340	subjektiva	Japanese_Trans	objektiva	{Ｏ}主観的な, 個人的な, ><objektiva; 主体的な, =subjekta, >>memstara
2364	totala	Japanese_Trans	kompleta|tuta	{Ｂ}全体の, 総計の, >>kompleta, >>tuta
2367	unio	Japanese_Trans	federacio	{Ｏ}【政】同盟, 連合, >>unuiĝo, >>federacio, >>konfederacio
2368	universo	Japanese_Trans	kosmo	{Ｏ}宇宙（森羅万象）, 万有, 森羅万象, 全世界, >>kosmo
2369	uragano	Japanese_Trans	tempesto|ŝtormo	{Ｏ}（旋風性の）大暴風; 【気】颶風（ぐふう）（風力階級12）, >>tempesto, >>ŝtormo; 《転》あらし（嵐）
2372	uzino	Japanese_Trans	fabriko	{Ｂ}（大規模な）工場, プラント, 大工場; >>fabriko
2379	vertikala	Japanese_Trans	horizontala	{Ｂ}【数】【理】鉛直の; （地面に）垂直な, 縦の, >>horizontala
2389	zoo	Japanese_Trans	ĝardeno	{Ｂ}［略］=〜logia ĝardeno
2400	ŝtormo	Japanese_Trans	tempesto|uragano	{Ｏ}暴風, あらし; 【気】強風（風力階級７～10）, >>tempesto, >>uragano
